code_5,title_5,desc_5,code_4,title_4,code_3,title_3,code_2,title_2,code_1,title_1
01111,Pertanian Jagung,"Kelompok ini mencakup usaha pertanian komoditas jagung mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jagung. Termasuk kegiatan pembibitan dan pembenihan tanaman jagung.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01112,Pertanian Gandum,"Kelompok ini mencakup usaha pertanian gandum mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia gandum, seperti sorgum/cantel, gandum (wheat/oats), jelai (barley), gandum hitam (rye), jawawut (millet) dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman gandum.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01113,Pertanian Kedelai,"Kelompok ini mencakup usaha pertanian kedelai mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kedelai (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kedelai.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01114,Pertanian Kacang Tanah,"Kelompok ini mencakup usaha pertanian kacang tanah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang tanah (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kacang tanah.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01115,Pertanian Kacang Hijau,"Kelompok ini mencakup usaha pertanian kacang hijau mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang hijau (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kacang hijau.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01116,Pertanian Aneka Kacang Hortikultura,"Kelompok ini mencakup usaha pertanian aneka kacang hortikultura mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka kacang hortikultura, seperti buncis, buncis besar, kacang panjang, kacang merah, gude, kara, kapri, kecipir, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman aneka kacang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka kacang hortikultura.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01117,Pertanian Biji-bijian Penghasil Minyak Makan,"Kelompok ini mencakup usaha pertanian biji-bijian penghasil minyak makan mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman biji-bijian penghasil minyak makan, seperti biji wijen, biji bunga matahari dan tanaman biji-bijian penghasil minyak makan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman biji-bijian penghasil minyak makan.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01118,Pertanian Biji-bijian Penghasil Bukan Minyak Makan,"Kelompok ini mencakup usaha pertanian biji-bijian penghasil bukan minyak makan mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman biji-bijian penghasil bukan minyak makan, seperti biji kapas, biji rami, biji mustard, niger seeds, biji jarak pohon dan tanaman biji-bijian penghasil bukan minyak makan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman biji-bijian penghasil bukan minyak makan.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01119,"Pertanian Serealia Lainnya, Aneka Kacang dan Biji-Bijian Penghasil Minyak Lainnya","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia lainnya bukan padi, jagung dan gandum, tanaman aneka kacang palawija lainnya dan pertanian tanaman lainnya yang belum diklasifikasikan pada kelompok 01111 s.d. 01118. Termasuk kegiatan pembibitan dan pembenihan tanaman serealia dan biji-bijian penghasil minyak lainnya.",0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
01121,Pertanian Padi Hibrida,"Kelompok ini mencakup usaha pertanian padi hibrida mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi hibrida. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot. Contohnya: Bernas Super, Bernas Prima, Sembada B3, SL 11 SHS. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida. ",0112,Pertanian Padi,011,Pertanian Tanaman Semusim,01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",A,"Pertanian, Kehutanan dan Perikanan"
